0,0,0.248495,1.1297,0.280725,1745.82,3.34965,68.3,31.57,174.97
1,1,0.239881,1.15233,0.276422,1547.47,5.01187,67.9,32.44,159.965
2,2,0.23115,1.15393,0.266731,1379.89,5.30884,67.9,33.31,175.705
3,3,0.247449,1.2661,0.313294,1782.03,2.51189,67.6,34.12,157.86
4,4,0.243999,1.19637,0.291914,1323.1,4.46684,67.6,36,160.615
5,5,0.205105,1.16731,0.239422,1263.01,2.73842,67.9,37.56,170.5
6,6,0.231958,1.10825,0.257067,1341.31,1.99526,67.9,36.94,168.16
7,7,0.240552,1.18684,0.285496,1334,5.01187,68.3,38.25,170.032
8,8,0.236362,1.13659,0.268646,1354.1,4.59727,68.3,37.88,168.485
9,0,0.225452,1.0488,0.236455,1541.82,3.65174,67.6,31.93,156.905
10,1,0.238706,1.32948,0.317355,1647.59,5.15822,67.9,33.12,151.62
11,2,0.233918,1.27175,0.297485,1437.49,9.71628,67.9,34.31,164.63
12,3,0.221957,1.31727,0.292377,1391.23,4.46684,67.6,35.44,160.615
13,4,0.251769,1.20994,0.304624,1711.08,4.46684,67.6,36.81,175.428
14,5,0.259187,1.31147,0.339916,822.607,3.44747,67.9,35.94,166.392
15,6,0.237069,1.00629,0.238559,1573.16,3.65174,67.9,39,171.45
16,7,0.227537,1.14005,0.259405,1480.05,5.46387,68.3,40.44,167.815
17,8,0.232486,0.994308,0.231163,1456.41,3.16228,68.3,37.44,175.473
18,0,0.251216,1.14479,0.28759,2013.36,5.15822,67.9,33.64,172.99
19,1,0.237218,1.23254,0.29238,1754.94,3.44747,67.9,34.88,160.585
20,2,0.237272,1.14061,0.270635,1026.13,6.30957,67.9,36.12,166.985
21,3,0.239433,1.21728,0.291457,1287.74,5.30884,67.6,37.88,182.745
22,4,0.242156,1.22266,0.296074,1200.79,5.78762,67.6,39.31,169.29
23,5,0.234878,1.30142,0.305674,1463.6,7.07946,67.9,41.31,182.083
24,6,0.232363,1.20893,0.28091,1153.29,5.95662,67.9,41.62,166.365
25,7,0.25778,1.04232,0.26869,1684.92,6.13056,68.3,41.88,173.545
26,8,0.243316,1.03388,0.25156,1656.9,5.30884,68.3,39.56,157.555
27,0,0.232983,1.12938,0.263126,1504.95,2.30409,67.9,32.93,169.545
28,1,0.250103,1.22645,0.306739,1160.21,5.62341,67.9,35.12,158.135
29,2,0.245412,1.35917,0.333555,1015.89,6.68344,67.9,37.31,163.285
30,3,0.233304,1.21647,0.283807,1196.1,5.15822,67.6,39.06,168.015
31,4,0.23818,1.22937,0.292812,1521.35,5.95662,67.6,40.44,171.115
32,5,0.248728,1.34676,0.334978,955.905,6.68344,67.9,41.88,172.51
33,6,0.23592,1.21772,0.287284,1214.15,4.3401,67.9,42.5,166.305
34,7,0.245799,1.07533,0.264314,1499.33,6.13056,68.3,41.06,146.305
35,8,0.235996,1.08947,0.257111,1287.25,3.54813,68.3,39.31,164.503
36,0,0.242366,1.28538,0.311532,1828,4.73151,67.9,32.12,166.935
37,1,0.227201,1.1798,0.268053,1457.86,5.95662,67.9,34.12,170.323
38,2,0.238269,1.11076,0.264661,1293.46,6.8786,67.9,36.12,164.635
39,3,0.230959,1.27228,0.293844,1481.61,5.15822,67.6,37.94,158.68
40,4,0.244705,1.26011,0.308356,1547.96,5.62341,67.6,40,152.615
41,5,0.240855,1.05364,0.253774,1561.12,4.21697,67.9,41.69,165.625
42,6,0.22228,1.26867,0.282,1394.37,4.73151,67.9,43.5,176.663
43,7,0.252562,1.18677,0.299732,1385.35,4.21697,68.3,43.31,144.31
44,8,0.231108,1.14514,0.264652,1306.21,5.78762,68.3,41.25,173.13
45,0,0.231348,1.13233,0.261963,1784.93,2.37137,67.9,32.63,168.35
46,1,0.228962,1.24579,0.285238,1212.46,5.78762,67.9,34.94,176.145
47,2,0.230536,1.42056,0.32749,1722.53,6.8786,67.9,37.25,161.545
48,3,0.237124,1.07944,0.255962,1490.98,5.15822,67.6,38.19,165.275
49,4,0.234566,1.15878,0.271811,1607.34,5.62341,67.6,39.44,163.57
50,5,0.240465,1.11558,0.268258,1248.72,3.98107,67.9,41.06,161.205
51,6,0.237545,1.17087,0.278134,1282.33,4.46684,67.9,41.75,161.795
52,7,0.243329,1.2251,0.298103,1521.52,6.30957,68.3,42.06,171.265
53,8,0.245356,1.38616,0.340103,1362.31,7.94328,68.3,39.88,161.66
